"","Zhongza_9, QZ_006, TOM_EX","Zhongza_9, QZ_006, Micro_TOM","Zhongza_9, TOM_EX, Micro_TOM","QZ_006, TOM_EX, Micro_TOM","Zhongza_9, QZ_006, TOM_EX, Micro_TOM","Zhongza_9, QZ_006, X29_X_Boludo","Zhongza_9, TOM_EX, X29_X_Boludo","QZ_006, TOM_EX, X29_X_Boludo","Zhongza_9, QZ_006, TOM_EX, X29_X_Boludo","Zhongza_9, Micro_TOM, X29_X_Boludo","QZ_006, Micro_TOM, X29_X_Boludo","Zhongza_9, QZ_006, Micro_TOM, X29_X_Boludo","TOM_EX, Micro_TOM, X29_X_Boludo","Zhongza_9, TOM_EX, Micro_TOM, X29_X_Boludo","QZ_006, TOM_EX, Micro_TOM, X29_X_Boludo","Zhongza_9, QZ_006, TOM_EX, Micro_TOM, X29_X_Boludo"
"135",NA,NA,"Solyc06g050130",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g017610",NA,NA,NA
"136",NA,NA,"Solyc08g061240",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc04g078640",NA,NA,NA
"137",NA,NA,"Solyc04g040180",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g118820",NA,NA,NA
"138",NA,NA,"Solyc01g109170",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g115930",NA,NA,NA
"139",NA,NA,"Solyc01g068460",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g060070",NA,NA,NA
"140",NA,NA,"Solyc06g060910",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g113270",NA,NA,NA
"141",NA,NA,"Solyc06g076670",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc08g061480",NA,NA,NA
"142",NA,NA,"Solyc11g017000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g066680",NA,NA,NA
"143",NA,NA,"Solyc03g098090",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g091930",NA,NA,NA
"144",NA,NA,"Solyc02g069250",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g009190",NA,NA,NA
"145",NA,NA,"Solyc07g054300",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc08g078160",NA,NA,NA
"146",NA,NA,"Solyc01g068000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g010650",NA,NA,NA
"147",NA,NA,"Solyc03g097110",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g005160",NA,NA,NA
"148",NA,NA,"Solyc02g081560",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g075100",NA,NA,NA
"149",NA,NA,"Solyc03g093800",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g082920",NA,NA,NA
"150",NA,NA,"Solyc01g095270",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc04g072640",NA,NA,NA
"151",NA,NA,"Solyc07g053360",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g014610",NA,NA,NA
"152",NA,NA,"Solyc01g100460",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc05g006980",NA,NA,NA
"153",NA,NA,"Solyc06g075370",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g061770",NA,NA,NA
"154",NA,NA,"Solyc03g098000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc05g005200",NA,NA,NA
"155",NA,NA,"Solyc05g054170",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g011660",NA,NA,NA
"156",NA,NA,"Solyc05g013660",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g076250",NA,NA,NA
"157",NA,NA,"Solyc12g056650",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc12g005730",NA,NA,NA
"158",NA,NA,"Solyc09g008350",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g007790",NA,NA,NA
"159",NA,NA,"Solyc01g103170",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g116630",NA,NA,NA
"160",NA,NA,"Solyc06g074940",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc12g008660",NA,NA,NA
"161",NA,NA,"Solyc01g099810",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc11g006750",NA,NA,NA
"162",NA,NA,"Solyc05g013480",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g121270",NA,NA,NA
"163",NA,NA,"Solyc06g071890",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g013440",NA,NA,NA
"164",NA,NA,"Solyc07g017610",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g061280",NA,NA,NA
"165",NA,NA,"Solyc03g118820",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g109880",NA,NA,NA
"166",NA,NA,"Solyc02g071970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g103590",NA,NA,NA
"167",NA,NA,"Solyc05g052980",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc04g006960",NA,NA,NA
"168",NA,NA,"Solyc03g115930",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g068620",NA,NA,NA
"169",NA,NA,"Solyc10g079150",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g063520",NA,NA,NA
"170",NA,NA,"Solyc07g008140",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g075890",NA,NA,NA
"171",NA,NA,"Solyc07g056570",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g065720",NA,NA,NA
"172",NA,NA,"Solyc06g050800",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g053220",NA,NA,NA
"173",NA,NA,"Solyc05g015390",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g007800",NA,NA,NA
"174",NA,NA,"Solyc02g071980",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g017880",NA,NA,NA
"175",NA,NA,"Solyc04g077050",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g083460",NA,NA,NA
"176",NA,NA,"Solyc02g083460",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g005040",NA,NA,NA
"177",NA,NA,"Solyc03g114160",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc12g098900",NA,NA,NA
"178",NA,NA,"Solyc03g119930",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g100770",NA,NA,NA
"179",NA,NA,"Solyc05g007080",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g011470",NA,NA,NA
"180",NA,NA,"Solyc09g011370",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g094640",NA,NA,NA
"181",NA,NA,"Solyc01g087680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g006370",NA,NA,NA
"182",NA,NA,"Solyc09g091030",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc04g005800",NA,NA,NA
"183",NA,NA,"Solyc04g054760",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g011350",NA,NA,NA
"184",NA,NA,"Solyc03g123600",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g086310",NA,NA,NA
"185",NA,NA,"Solyc09g082230",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g084410",NA,NA,NA
"186",NA,NA,"Solyc06g007320",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc08g081370",NA,NA,NA
"187",NA,NA,"Solyc02g083280",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g091030",NA,NA,NA
"188",NA,NA,"Solyc08g081030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,"Solyc12g088230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,"Solyc08g066770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,"Solyc08g006980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,"Solyc03g113270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,NA,"Solyc08g061480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,"Solyc10g078770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,"Solyc07g056320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,"Solyc06g066680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,"Solyc02g091930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,"Solyc04g082700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,"Solyc08g081240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,"Solyc02g086530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,"Solyc06g008620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,NA,"Solyc03g112280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,"Solyc01g058260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,NA,"Solyc05g007770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,"Solyc03g098240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,NA,"Solyc10g084930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,NA,"Solyc02g077980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,"Solyc04g072640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,"Solyc11g044560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,"Solyc02g063410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,"Solyc05g006980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,"Solyc03g116480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,"Solyc01g088090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,"Solyc04g081900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,"Solyc06g048520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,"Solyc06g075790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,"Solyc04g008310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,"Solyc06g074620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,"Solyc03g119970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,"Solyc03g115850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,"Solyc03g114360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,"Solyc07g064900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,"Solyc05g053090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,"Solyc10g076250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,"Solyc11g056650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,"Solyc04g009960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,"Solyc08g080540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,"Solyc09g007790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,"Solyc05g050220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,"Solyc10g083690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,"Solyc06g009390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,"Solyc01g090740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,"Solyc04g007980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,"Solyc12g013620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,"Solyc07g006145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,"Solyc04g063380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,"Solyc01g067680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,"Solyc04g064870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,"Solyc12g005910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,"Solyc03g115370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",NA,NA,"Solyc07g007660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,"Solyc03g013440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,"Solyc07g053200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,NA,"Solyc01g104140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,"Solyc05g056040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,"Solyc03g116390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,"Solyc09g065540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,"Solyc12g089220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,"Solyc03g123370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,"Solyc01g109910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,"Solyc03g098210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,"Solyc01g091690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,"Solyc08g065610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,"Solyc12g014010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,"Solyc04g079940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,"Solyc01g105120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,NA,"Solyc04g054930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,"Solyc05g012210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,NA,"Solyc06g071750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,"Solyc03g095510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,"Solyc06g068160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,NA,"Solyc09g065020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,"Solyc08g082440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,NA,"Solyc09g074660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,"Solyc06g068620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",NA,NA,"Solyc02g063520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,"Solyc02g069260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,"Solyc09g075890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,NA,"Solyc08g076860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,"Solyc03g078490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,"Solyc11g068950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,"Solyc07g041900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,"Solyc07g065320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,"Solyc06g053220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",NA,NA,"Solyc01g096200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,"Solyc02g089400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,NA,"Solyc07g062970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,"Solyc07g008280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,NA,"Solyc06g071440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",NA,NA,"Solyc06g067980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",NA,NA,"Solyc10g005040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",NA,NA,"Solyc12g098900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",NA,NA,"Solyc02g090390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",NA,NA,"Solyc09g075140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",NA,NA,"Solyc11g013880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",NA,NA,"Solyc07g063410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",NA,NA,"Solyc07g064860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",NA,NA,"Solyc01g080220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",NA,NA,"Solyc08g083130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",NA,NA,"Solyc07g065930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",NA,NA,"Solyc07g042550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,NA,"Solyc08g023440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",NA,NA,"Solyc01g104300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",NA,NA,"Solyc07g006370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",NA,NA,"Solyc08g082610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",NA,NA,"Solyc03g025970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",NA,NA,"Solyc07g063470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",NA,NA,"Solyc02g084960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",NA,NA,"Solyc06g068540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",NA,NA,"Solyc07g062250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",NA,NA,"Solyc02g078840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",NA,NA,"Solyc11g069700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",NA,NA,"Solyc11g005380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",NA,NA,"Solyc03g007230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",NA,NA,"Solyc01g087180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",NA,NA,"Solyc08g008410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,NA,"Solyc03g122310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",NA,NA,"Solyc12g088190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",NA,NA,"Solyc08g081680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",NA,NA,"Solyc03g006500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",NA,NA,"Solyc04g079300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",NA,NA,"Solyc09g015670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",NA,NA,"Solyc01g091030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",NA,NA,"Solyc01g079600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",NA,NA,"Solyc12g005860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
