name,ID
,Solyc06g059870.1
,Solyc01g097680.2
,Solyc06g073580.2
,Solyc00g233480.1
,XM_004229239.1
,Solyc11g045520.1
,Solyc01g006790.2
,Solyc06g068380.2
,Solyc12g096400.1
,Solyc02g083790.2
,Solyc09g075410.2
,Solyc12g055810.1
,Solyc05g011850.1
,Solyc09g008060.2
,Solyc10g086490.1
,Solyc08g041700.1
,Solyc02g066960.2
,Solyc08g081490.2
,Solyc04g016020.1
,Solyc12g088970.1
,Solyc01g094910.2
,Solyc02g014300.1
,Solyc02g082170.1
,Solyc03g119180.1
,Solyc01g108700.2
,Solyc05g012580.1
,Solyc09g014870.1
,Solyc03g096980.1
,Solyc08g077780.2
,Solyc12g096890.1
,Solyc03g118000.1
,XR_182678.1
,Solyc02g081050.2
,Solyc01g097700.1
,Solyc03g116860.2
,XM_004240186.1
,Solyc10g050890.1
,Solyc04g016070.2
,Solyc02g090450.2
,XM_004246086.1
,Solyc01g102880.1
,Solyc03g083500.2
,Solyc11g072570.1
,Solyc08g075570.2
,Solyc04g005480.1
,Solyc03g113570.1
,Solyc02g078660.2
,Solyc08g014000.2
,Solyc10g055720.1
,Solyc02g078570.2
,Solyc09g009060.1
,Solyc03g025490.2
,Solyc03g053030.1
,Solyc09g007750.2
,Solyc06g084820.1
,Solyc02g071070.2
,XR_182285.1
,Solyc01g099320.2
,Solyc01g099330.2
,Solyc06g073520.2
,Solyc01g099840.2
,Solyc07g008930.1
,XM_004244186.1
,Solyc08g082630.2
,Solyc01g095850.1
,Solyc04g074880.2
,Solyc12g044710.1
,Solyc08g082920.2
,Solyc10g082040.1
,Solyc01g091470.2
,Solyc04g008970.2
,Solyc06g048820.1
,Solyc08g007480.1
,Solyc09g008760.1
,Solyc12g007250.1
,Solyc01g088440.2
,Solyc01g109860.2
,Solyc02g071700.2
,Solyc08g079930.1
,Solyc03g033730.1
,Solyc06g082860.2
,Solyc01g109500.2
,Solyc01g107430.2
,Solyc03g026360.1
,Solyc05g054050.2
