name,SPOT_ID
,Solyc06g074460.2
,Solyc02g084700.2
,Solyc02g032660.2
,Solyc01g079390.2
,Solyc07g006600.1
,Solyc04g072810.2
,Solyc09g065840.2
,Solyc03g115770.2
,Solyc04g072270.1
,Solyc02g070960.1
,Solyc06g062360.2
,Solyc05g014790.2
,Solyc05g015510.2
,XM_004248113.1
,Solyc01g099230.2
,XM_004243345.1
,Solyc01g096920.2
,Solyc04g077030.2
,Solyc09g061340.1
,XM_004243316.1
,Solyc01g112280.2
,XM_004251499.1
,Solyc10g054860.1
,Solyc09g007310.2
,Solyc02g087560.1
,XM_004236530.1
,Solyc07g045350.2
,Solyc08g077730.2
,XM_004239209.1
,Solyc05g050360.2
,Solyc08g080910.2
,Solyc08g068430.2
,XM_004232865.1
,Solyc03g117810.2
,Solyc07g014700.2
,Solyc07g043610.2
,XM_004243546.1
,Solyc05g015880.2
,XM_004247514.1
,Solyc07g016170.2
,Solyc10g079070.1
,Solyc12g009800.1
,Solyc01g090270.2
,XM_004245609.1
,Solyc02g093490.2
,Solyc01g010250.2
,XR_182632.1
,XR_182282.1
,Solyc04g005250.2
,Solyc06g076750.2
,Solyc05g017900.2
,Solyc08g068750.1
,Solyc11g011920.1
,Solyc01g067670.2
,Solyc05g013720.2
,Solyc03g113030.2
,XM_004251857.1
,Solyc06g072380.2
,Solyc02g091100.2
,Solyc11g045210.1
,Solyc02g079280.2
,XM_004249838.1
,XM_004231378.1
,XR_183234.1
,Solyc08g065820.1
,Solyc07g006370.1
,Solyc08g007790.2
,Solyc08g065800.1
,Solyc03g098790.1
,Solyc12g010020.1
,Solyc11g045610.1
,Solyc05g052310.2
,Solyc09g005640.2
,Solyc12g098900.1
,Solyc08g029200.2
,Solyc05g007510.2
,Solyc05g006860.2
,XM_004235290.1
,Solyc12g016220.1
,Solyc06g069280.2
,Solyc01g005020.2
,Solyc09g009400.2
,XM_004240560.1
,Solyc04g077350.1
,XM_004246424.1
,Solyc01g058390.2
,XM_004240950.1
,Solyc08g081920.2
,Solyc06g054090.1
,Solyc04g076690.2
,Solyc11g066850.1
,Solyc02g089340.2
,Solyc09g065440.2
,XM_004244186.1
,Solyc09g091050.2
,Solyc09g082210.2
,Solyc12g056960.1
,Solyc03g025890.1
,Solyc03g098640.2
,Solyc09g090110.2
,Solyc09g008350.2
,Solyc11g013070.1
,Solyc03g033630.2
,XM_004246988.1
,Solyc12g038160.1
,Solyc01g111910.2
,Solyc04g015480.2
,Solyc03g032180.2
,XM_004235561.1
,Solyc09g075890.2
,Solyc11g044970.1
,Solyc01g098190.2
,Solyc05g053590.2
,XM_004241565.1
,Solyc12g036820.1
,Solyc07g043090.1
,Solyc09g098230.2
,Solyc05g006120.2
,Solyc09g074110.2
,Solyc01g086970.2
,Solyc07g014730.2
,Solyc08g082790.2
,Solyc10g076270.1
,Solyc01g056750.1
,Solyc09g008460.2
,Solyc01g097150.2
,Solyc04g053080.2
,Solyc06g008920.2
,Solyc04g080140.2
,XM_004229548.1
,Solyc01g095700.2
,Solyc04g014330.1
,Solyc03g113950.2
,Solyc07g055310.1
,Solyc10g078920.1
,XM_004251419.1
,Solyc06g059740.2
,Solyc07g039210.2
,Solyc09g082680.2
,Solyc04g076670.2
,XM_004243318.1
,Solyc02g078460.2
,XM_004237866.1
,XM_004251830.1
,Solyc05g018060.1
,XM_004251746.1
,Solyc10g039190.1
,Solyc05g056350.2
,Solyc10g080350.1
,XM_004234407.1
,Solyc07g008880.2
,Solyc07g027020.2
,XM_004229939.1
,Solyc09g074640.2
,Solyc04g081970.2
,Solyc01g066480.2
,Solyc04g050020.1
,Solyc02g063410.2
,Solyc06g068270.2
,Solyc12g011000.1
,Solyc00g136260.1
,XM_004248399.1
,Solyc12g019960.1
,XM_004235734.1
,Solyc08g077530.2
