GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618830
Solyc01g095070.4.1,1900.948806,2355.44261,2359.025745,2542.988898,3297.40336
Solyc04g055160.3.1,207.4473988,231.8150621,111.1783531,172.9184082,99.92131394
Solyc07g049440.3.1,3411.792126,3434.894486,4035.646426,16314.79135,3157.2963
Solyc01g099940.3.1,160.4781765,157.2310856,231.3020909,237.007049,287.8168282
Solyc10g084440.3.1,198.3144945,230.8071706,173.7960462,377.2765269,379.0493322
Solyc02g092840.1.1,1475.616403,1733.573508,1289.413314,607.0282581,631.0248196
Solyc01g056720.4.1,1406.46727,1414.071879,1906.64486,2424.485373,2057.075746
Solyc03g071720.4.1,3022.99134,3068.021953,3447.806858,5365.307532,4973.257571
Solyc05g005770.3.1,339.2221616,352.7620511,477.9391271,686.8367542,645.1441357
Solyc06g008980.3.1,33.92221616,40.31566298,24.28032999,14.51063565,15.20541734
Solyc10g085240.1.1,5.218802487,4.031566298,5.111648419,2.418439275,2.172202477
Solyc04g072010.3.1,292.2529393,219.7203632,287.5302235,250.308465,228.0812601
Solyc12g038400.2.1,2306.710699,2044.004113,1938.592663,1018.162935,853.6755735
Solyc08g028780.1.1,168.3063802,95.74969958,106.0667047,18.13829456,73.85488422
Solyc03g110920.2.1,502.3097393,543.2535587,626.1769313,987.9324439,978.5772159
Solyc03g031720.3.1,7303.71408,7637.802352,8970.942975,8457.282146,8588.888594
Solyc08g065420.3.1,315.7375504,449.5196422,264.5278057,319.2339843,343.2079914
Solyc01g087880.3.1,412.2853965,458.5906664,568.6708866,897.2409711,763.5291707
Solyc03g117620.4.1,369.2302759,307.4069302,457.4925335,483.6878551,553.9116316
Solyc01g097890.2.1,1111.60493,966.56802,1265.132984,626.3757723,722.2573236
Solyc08g007570.4.1,194.4003926,369.8962079,299.0314325,228.5425115,458.3347226
Solyc02g093660.1.1,0,0,0,2.418439275,0
Solyc01g068260.4.1,79.58673792,74.58397652,67.72934155,113.6666459,94.49080775
Solyc02g063170.3.1,74.36793544,90.71024171,71.56307786,73.7623979,82.54369413
Solyc06g048510.4.1,1701.329611,1376.779891,2035.713983,1864.616681,2039.698126
Solyc09g090770.2.1,18.2658087,19.14993992,25.55824209,49.57800514,35.84134087
Solyc10g150104.1.1,10.43760497,31.24463881,30.66989051,4.836878551,10.86101239
Solyc07g052610.3.1,3312.634878,4296.641782,3263.787515,6769.211531,5908.390737
Solyc05g006750.3.1,150.0405715,158.2389772,208.2996731,353.0921342,147.7097684
Solyc12g036320.3.1,0,0,0,0,2.172202477
Solyc08g006000.3.1,3561.832697,3522.581053,5928.234253,8026.799955,8041.49357
Solyc02g091970.4.1,3123.453288,3005.532675,2739.843552,2356.769074,2084.228277
Solyc01g059880.3.1,2257.132076,1878.709895,1492.601338,1355.535214,1081.756834
Solyc03g051960.4.1,0,2.015783149,0,0,0
Solyc03g116950.2.1,2.609401243,0,0,0,2.172202477
Solyc01g104770.4.1,626.2562984,619.8533183,658.1247339,550.1949351,284.5585245
Solyc08g078080.2.1,23.48461119,16.12626519,17.89076947,10.88297674,8.688809908
Solyc08g074260.3.1,0,2.015783149,2.555824209,10.88297674,1.086101239
Solyc10g084380.1.1,123.9465591,147.1521699,60.06186892,21.76595348,57.56336564
Solyc09g064850.3.1,1710.462515,1654.957965,1970.540465,3336.23698,3074.752606
Solyc09g010150.4.1,360.0973716,348.7304848,426.822643,569.5424493,527.8452019
Solyc05g051060.3.1,173.5251827,250.9650021,287.5302235,305.9325683,230.2534626
Solyc10g049280.2.1,0,0,0,0,0
Solyc03g114410.3.1,250.5025194,155.2153025,106.0667047,142.6879172,137.9348573
Solyc01g008890.4.1,594.9434835,361.8330753,301.5872567,85.85459427,121.6433387
Solyc05g008560.1.1,170.9157814,178.3968087,112.4562652,14.51063565,39.09964459
Solyc02g067920.4.1,390.1054859,313.4542797,353.981653,126.968062,243.2866774
Solyc01g095680.2.1,1060.721605,1337.472119,891.982649,883.9395551,853.6755735
Solyc11g019910.1.1,2201.029949,2570.123515,2459.980801,4157.297114,5721.581324
Solyc02g062760.4.1,22.17991057,26.20518094,24.28032999,33.85814985,44.53015078
Solyc11g006010.3.1,20.87520995,20.15783149,7.667472628,25.39361239,26.06642972
Solyc05g053290.3.1,1011.142982,900.0471761,1102.838146,949.2374155,1088.273441
Solyc03g096820.4.1,2891.216578,3244.402978,3167.944107,3033.932071,2891.201497
Solyc01g099420.3.1,1.304700622,0,0,2.418439275,0
Solyc05g053670.3.1,12219.82602,14180.02656,13703.0515,20432.18422,16754.19771
Solyc02g089700.4.1,283.1200349,257.0123515,389.7631919,334.9538396,480.0567474
Solyc01g099400.4.1,1899.644105,1639.839592,2484.261131,2362.815172,2281.898702
Solyc06g082700.1.1,16.96110808,24.18939779,20.44659367,56.83332297,29.32473344
Solyc01g088360.4.1,0,14.11048204,7.667472628,7.255317826,10.86101239
Solyc09g075730.3.1,514.0520449,513.0168114,498.3857208,286.5850541,311.7110555
