GeneID,GSM7413358,GSM7413360,GSM7413364,GSM7413365,GSM7413366,GSM7413367,GSM7413369,GSM7413370,GSM7413371,GSM7413372,GSM7413373,GSM7413374,GSM7413375
101262255,1554.031655,1422.623984,80.46595134,54.11047221,97.98946817,782.4011137,820.2069318,1715.119805,1611.796922,2000.899307,1438.709614,1879.245902,2024.092398
101258429,23.7407764,139.0313873,1586.185066,2156.402522,2023.782486,169.1410751,118.5841347,87.80136288,102.6496509,108.3697311,104.6153113,97.80461942,33.11603825
543998,3023.981394,1592.007294,997.7777967,459.9390138,1078.884042,839.7706012,569.2038467,1583.41776,1277.198541,1256.103701,713.3767891,725.5505951,1721.030473
101247151,605.3897983,844.9583606,1104.395182,1076.197169,1024.889846,935.7161233,951.6376812,816.1535777,720.521588,841.3431847,691.4573906,620.7599314,514.8038673
101248484,465.9127369,1009.446199,889.1487624,995.0314612,852.9083301,1332.35689,823.1715352,1177.336457,975.1716834,891.5873328,800.058047,724.5525888,637.2328572
543810,428.3231743,1081.899176,813.711933,973.9884997,744.9199366,1131.563684,775.7378813,1090.532837,911.0156516,1132.956279,668.5416557,817.3671766,516.8108999
101245224,741.8992626,1336.463687,703.0712499,976.9946371,746.9197217,1301.693888,711.5048083,889.986542,930.7559691,871.8837453,436.3952984,625.7499631,536.8812261
101249087,498.5563045,1110.29291,678.9314645,872.7818758,794.9145632,1474.79148,829.1007419,995.7472745,968.2625723,930.0093283,401.523528,495.011135,429.5049809
543990,183.0018181,261.4181718,1061.144733,1470.001162,1129.878562,219.586659,319.1889626,158.6410988,182.5979367,213.783924,197.2745869,159.6810113,55.19339708
101245121,1936.851675,1194.495017,1060.138909,893.8248372,1312.858895,503.4667091,268.7907054,1036.654728,739.2748896,943.8018395,559.9409993,624.7519567,1293.532524
101256375,941.717464,985.9479364,253.4677467,166.3395998,258.9721659,657.7708478,808.3485184,1410.808263,1486.445906,1480.724598,1295.237187,1157.687332,1295.539557
101248140,1653.940756,1406.958475,1094.336938,661.3502159,1135.877917,812.0749865,466.4309299,1141.417717,1043.275779,1192.067042,556.9519904,637.7260389,1072.758936
101259747,1750.88226,1100.501967,1098.360236,966.9741793,1427.846536,902.0857341,326.1063705,1003.729217,894.2363818,909.3205615,384.5858109,531.9373689,902.1611632
544086,1136.58967,925.2440913,182.0542149,217.4439346,210.9773243,832.8466975,993.1421283,925.9052813,990.9639374,753.6622205,1699.749724,1754.495112,1552.439732
101253225,982.2746237,1415.770324,748.3333475,675.3788568,628.9324029,673.5969133,875.5461947,591.6614567,775.7944769,1099.460181,529.0545741,442.1168001,550.9304545
101249306,1125.708481,1014.34167,1059.133085,801.6366253,1228.867922,1022.759484,652.212741,1249.173936,1302.860954,1119.163768,568.908026,527.9453436,794.784918
100191111,818.0675869,436.6760473,90.52419526,351.7180694,22.99752824,308.6082775,2471.491008,25.94131176,476.7286671,148.7620854,420.4539176,461.0789201,186.6540338
101264609,1329.483479,1046.651782,1070.197153,954.9496299,1338.856101,713.1620771,312.2715548,913.9323682,747.1710166,923.1130727,496.1754762,568.8636028,956.351044
101257488,472.8371301,1000.634351,712.1236694,896.8309746,699.9247727,1208.715753,923.9680497,909.9413972,952.4703183,930.9945077,605.772469,617.7659125,501.7581553
101258610,478.7723242,796.9827411,915.3001965,1014.070331,900.9031717,1054.411615,811.3131217,1009.715673,823.1712389,992.0756288,525.0692289,498.005154,479.6807964
101248173,2169.313444,1428.498549,651.7742059,373.7630765,927.90027,521.2710328,276.6963144,1058.605068,1036.366668,990.1052701,443.3696525,645.7100895,997.4952127
778286,1459.06855,1161.205812,1108.41848,740.5118326,1330.856961,1068.259422,480.2657456,1402.826321,1267.328382,1292.555338,565.9190171,583.8336976,921.2279731
543972,1123.730083,1768.244263,977.6613088,1060.164437,953.8974759,908.0205087,543.5106175,460.9571551,465.8714925,506.3821978,499.1644851,695.6104055,940.294783
101266505,539.1134642,1027.069896,713.1294938,869.7757385,744.9199366,1067.270293,807.3603172,974.7946766,998.8600644,1055.127109,518.0948748,692.6163865,546.9163893
101244882,1614.372795,1156.310341,981.6846064,770.5732061,1291.861152,814.0532447,328.0827727,902.9571978,718.5475562,770.4102699,360.6737398,528.9433499,889.1154512
104649409,1234.520373,2716.986617,37.2155025,50.10228908,28.99688344,686.4555915,494.1005613,715.381559,656.3655562,533.9672203,185.3185514,404.1925599,752.6372329
101257132,621.2169826,435.696953,452.6209763,123.2516311,311.9664701,696.3468825,782.6552892,1063.593782,1490.39397,716.2254043,1157.742778,1272.458059,740.5950372
101265236,1518.420491,1104.418344,463.6850446,209.4275684,506.9455139,662.7164933,483.230349,1583.41776,1451.900351,1727.019441,920.614739,802.3970818,1252.388356
