GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830
Solyc03g063730.4.1,632,753,819,1621,1425,1689
Solyc11g070100.2.1,523,542,368,168,166,193
Solyc02g021260.3.1,0,0,0,0,0,0
Solyc03g025113.1.1,0,0,0,0,0,0
Solyc08g075480.4.1,0,0,2,0,0,0
Solyc02g084150.2.1,2,0,0,1,2,0
Solyc01g006690.4.1,413,572,289,329,218,355
Solyc07g063020.3.1,0,2,0,4,0,0
Solyc02g090990.1.1,161,191,232,518,100,142
Solyc01g097310.3.1,9013,13359,11492,16372,17833,18112
Solyc06g150124.1.1,2,2,0,0,3,4
Solyc07g053270.3.1,711,1118,926,475,457,445
Solyc11g011370.2.1,20,28,19,41,18,13
Solyc01g091730.3.1,14454,17824,16919,21526,15156,25501
Solyc05g009960.4.1,0,0,0,0,4,0
Solyc03g007810.3.1,1771,1648,1791,1278,1051,2676
Solyc08g074410.4.1,1182,1588,1027,1068,469,1064
Solyc01g103450.3.1,31636,36816,18597,11501,5786,10459
Solyc11g007750.3.1,31,50,34,39,9,24
Solyc06g083980.3.1,622,793,684,273,284,489
Solyc01g056240.1.1,0,0,2,4,4,2
Solyc01g103180.4.1,55,109,101,98,50,104
Solyc02g090900.3.1,1728,2068,1315,418,415,704
Solyc09g008240.3.1,1357,1177,515,585,264,428
Solyc01g100890.4.1,28,58,34,15,29,46
Solyc04g005550.2.1,10,13,4,14,5,9
Solyc04g077660.3.1,148,145,79,185,68,154
Solyc03g044370.3.1,78,105,91,69,54,105
Solyc11g006290.2.1,437,709,579,3956,1761,1657
Solyc04g081430.3.1,361,428,382,439,325,355
Solyc10g083890.2.1,34,60,57,43,25,84
Solyc02g079280.3.1,26,51,35,51,16,30
Solyc12g006370.3.1,3631,4909,3842,2646,2876,3583
Solyc07g025170.3.1,224,277,146,247,193,254
Solyc08g021970.1.1,0,0,0,0,0,0
Solyc06g060120.3.1,1612,1574,1152,318,251,429
Solyc02g091780.1.1,123,216,82,59,38,74
Solyc09g031610.4.1,312,330,218,227,164,205
