Main,Edit
Solyc10g074740.1,Solyc10g074740
Solyc02g086750.2,Solyc02g086750
Solyc02g079290.3,Solyc02g079290
Solyc02g080110.3,Solyc02g080110
Solyc11g065920.2,Solyc11g065920
Solyc01g108190.3,Solyc01g108190
Solyc11g069720.2,Solyc11g069720
Solyc09g098070.3,Solyc09g098070
Solyc02g093180.3,Solyc02g093180
Solyc01g086850.3,Solyc01g086850
Solyc01g108250.3,Solyc01g108250
Solyc12g043050.2,Solyc12g043050
Solyc09g008010.3,Solyc09g008010
Solyc04g011767.1,Solyc04g011767
Solyc03g025430.1,Solyc03g025430
Solyc03g019820.3,Solyc03g019820
Solyc07g014670.3,Solyc07g014670
Solyc06g007180.3,Solyc06g007180
Solyc04g072895.1,Solyc04g072895
Solyc02g062000.3,Solyc02g062000
Solyc12g038160.2,Solyc12g038160
Solyc12g056250.2,Solyc12g056250
Solyc06g005170.3,Solyc06g005170
Solyc09g065390.1,Solyc09g065390
Solyc02g094000.1,Solyc02g094000
Solyc10g055760.2,Solyc10g055760
Solyc03g006360.3,Solyc03g006360
Solyc07g053550.2,Solyc07g053550
Solyc06g069150.1,Solyc06g069150
Solyc03g115920.3,Solyc03g115920
Solyc06g066370.3,Solyc06g066370
Solyc01g111440.3,Solyc01g111440
Solyc05g013720.3,Solyc05g013720
Solyc01g105660.3,Solyc01g105660
Solyc12g099440.2,Solyc12g099440
Solyc10g085590.1,Solyc10g085590
Solyc10g018120.2,Solyc10g018120
Solyc01g105280.3,Solyc01g105280
Solyc03g095650.3,Solyc03g095650
Solyc01g095460.3,Solyc01g095460
Solyc07g021630.3,Solyc07g021630
Solyc04g009860.3,Solyc04g009860
Solyc05g009090.2,Solyc05g009090
Solyc02g062040.3,Solyc02g062040
Solyc01g099745.1,Solyc01g099745
Solyc02g084950.3,Solyc02g084950
Solyc08g082110.3,Solyc08g082110
Solyc11g010170.2,Solyc11g010170
