,Solyc02g084850,Solyc03g116390,Solyc04g081900,Solyc01g087180,Solyc07g063410,Solyc03g007230,Solyc10g081980,Solyc12g098900,Solyc03g019820,Solyc10g078770,Solyc06g068620,Solyc04g005250,Solyc08g075280,Solyc09g075890,Solyc02g081560,Solyc07g017610,Solyc01g096320,Solyc08g083130,Solyc06g067980,Solyc06g050800,Solyc10g080670,Solyc03g111100,condition
GSM4462448,8551.647447,2174.811683,639.5969004,321.6206636,221.3989271,393.5980926,322.5317703,961.2175641,193.1546195,1746.591536,241.4432744,43.7331214,104.77727,215.0211802,33.71094774,341.6650109,729.7964633,430.9534671,563.063938,54.66640175,511.1308563,174.0213789,1
GSM4462449,6662.046371,928.7256173,478.3796023,301.134986,172.72307,438.5899946,218.8428426,756.9068566,226.981626,1298.588108,103.9955657,27.12927801,103.0912565,207.9911314,20.79911314,372.5754181,420.5038092,304.752223,376.1926551,35.26806142,718.9258674,105.8041843,1
GSM4618825,53.49272549,5.218802487,247.8931181,35.22691679,421.4183008,147.4311702,182.658087,176.1345839,48.273923,3.914101865,1563.031345,50.88332425,2952.537507,430.5512052,87.41494165,313.1281492,142.2123678,134.384164,23.48461119,131.7747628,5320.569135,206.1426982,0
GSM4618826,39.30777141,2.015783149,269.1070504,19.14993992,658.1531982,106.8365069,188.4757244,96.75759116,20.15783149,6.047349447,1261.880251,32.25253039,2254.653452,437.4249433,59.4656029,209.6414475,73.57608494,20.15783149,56.44192817,133.0416878,3583.054547,110.8680732,0
GSM4618827,338.6467077,65.17351734,244.081212,40.89318735,1422.316172,230.0241788,158.461101,222.3567062,132.9028589,28.1140663,2022.934862,28.1140663,4201.775,825.5312196,88.17593522,247.9149483,192.9647278,210.8554973,53.6723084,329.701323,9645.680566,172.5181341,0
GSM4618828,51378.53318,4848.970747,1079.833136,148.7340154,2984.354066,480.0601961,449.8297052,394.2056019,5379.818168,2894.871812,4737.72254,108.8297674,9668.920223,1187.453684,198.3120206,1079.833136,2650.609446,1049.602645,677.1629971,1752.159255,21940.08111,428.0637517,1
GSM4618829,73.54081562,3.197426766,137.489351,41.56654796,1816.138403,124.6996439,142.2854911,326.1375302,1376.492223,7.993566916,2650.666789,41.56654796,8856.872143,1157.468489,243.0044342,354.9143711,207.8327398,289.3671223,132.6932108,674.6570477,22623.39308,19.1845606,1
GSM4618830,44.53015078,2.172202477,255.233791,136.8487561,3391.894168,422.4933818,584.3224663,549.5672267,5703.117603,4.344404954,2538.218594,70.5965805,7062.916354,2040.784227,172.6900969,954.6829886,172.6900969,341.0357889,146.6236672,785.2511954,26219.57,525.6729994,1
GSM4618831,2296.49726,5.939857123,706.1005155,72.02076761,537.5570696,612.5477658,517.5100518,42.321482,85.38544614,18.56205351,1686.176941,170.0284101,2590.520188,75.73317831,89.09785684,902.1158005,1301.571192,270.2634991,70.53580333,735.0573189,4680.607413,165.5735173,0
GSM4618832,1296.09935,148.1990664,436.8874213,114.7900283,921.7467947,442.0272733,238.1464767,36.83560611,681.030392,47.97195214,2160.45113,168.7584745,4001.374794,189.3178826,74.52785422,702.4464421,1380.050266,366.6427771,172.1850425,723.0058501,8772.870748,45.40202613,0
GSM4618833,2243.572914,173.9913689,711.5331242,105.3105654,367.2133627,499.0805054,194.1377379,59.52336303,254.576845,30.21955354,2499.981247,211.5368748,2953.27455,93.40589275,60.43910708,682.2293147,1275.631457,317.7631842,113.5522618,574.1715172,5955.999279,86.07994038,0
GSM4618834,70.21310952,1.509959344,335.9659541,61.90833312,356.3504053,249.8982715,212.1492879,22.64939017,162.3206295,29.44420722,206.1094505,135.896341,1260.816053,157.7907515,53.60355673,594.169002,330.6810964,70.96808919,75.49796722,449.212905,2720.946739,88.33262165,0
GSM4618835,81.55398632,0,306.029315,33.10607365,271.3083109,129.1944338,80.74652111,9.689582533,16.14930422,3.229860844,189.7543246,116.2749904,1118.339317,54.90763435,62.98228646,903.5535712,298.7621281,34.72100408,50.8703083,549.0763435,2186.615792,33.91353887,0
GSM4618836,140.2917373,5.938274595,288.0063179,25.97995135,298.3982984,212.2933168,63.09416757,21.52624541,61.60959892,3.711421622,269.4492098,94.2701092,1629.314092,86.10498163,66.06330487,495.1036444,213.7778854,59.38274595,28.20680433,771.9756974,4274.815424,40.82563784,0
